,lat,lon,Observat,Predit,diff
2,-17.61307716,-70.16095,170.0,121.471596,48.528404235839844
34,25.55250168,87.971344,288.0,329.9825,41.982513427734375
51,0.891231954,32.26565,20.0,337.63397,317.63397216796875
61,-33.99429703,-61.17616,152.0,102.9191,49.080902099609375
63,2.683315277,45.293594,15.0,63.531586,48.531585693359375
130,37.38422394,-3.673507,288.0,248.68259,39.317413330078125
140,14.62175846,40.8012,325.0,359.32593,34.325927734375
155,-0.450838357,-78.696495,220.0,194.67839,25.321609497070312
174,15.48647022,48.43827,335.0,10.966483,324.0335168838501
202,-29.83493423,-71.50867,174.00000000000003,117.12038,56.879623413085966
206,23.09957695,84.82667,334.0,294.42264,39.577362060546875
207,42.21144485,-104.30315,244.0,270.9536,26.95361328125
214,10.24587154,25.9763,335.0,364.8623,29.8623046875
218,33.73246384,75.39264,266.0,149.2607,116.73930358886719
231,9.361639023,-66.56703,244.0,291.61578,47.61578369140625
233,10.24587154,8.905199,213.0,273.93127,60.9312744140625
276,-9.357785225,32.71489,170.0,134.65662,35.3433837890625
295,-3.582592964,33.16413,23.5,78.13731,54.637306213378906
303,35.94524765,36.308807,242.0,271.46634,29.466339111328125
318,-18.03485298,-66.56703,135.0,104.603165,30.396835327148438
320,-32.50348663,18.339228,151.0,124.588066,26.41193389892578
347,35.21413803,40.351963,242.0,278.71252,36.7125244140625
362,21.85702705,-79.14574,349.0,316.19107,32.808929443359375
391,44.81912231,-106.99859,244.0,278.38123,34.3812255859375
420,12.44171238,4.4128036,278.0,304.64227,26.64227294921875
435,26.36227798,89.31906,334.0,28.973188,305.02681159973145
535,13.75316811,-0.07959097,305.00000000000006,336.65848,31.658477783203068
540,24.3309536,94.70994,60.0,23.70033,36.29966926574707
565,8.031142235,3.9635642,213.0,267.10995,54.109954833984375
567,-5.368832111,35.410328,128.0,100.90549,27.094512939453125
616,22.68681717,91.11602,1.0,30.638702,29.638702392578125
641,12.527086,-14.467335,354.00000000000006,312.0569,41.94311523437506
735,-38.30047226,-71.50867,120.0,190.1792,70.17919921875
737,19.76054382,41.250443,176.00000000000003,54.411934,121.58806610107425
798,-21.008742,-41.105207,192.0,143.18805,48.81195068359375
874,34.479702,73.14645,294.99999999999994,80.920944,214.07905578613276
882,-28.27491188,-61.6254,100.0,203.92108,103.92108154296875
901,-24.27742958,-60.72692,200.0,158.31917,41.68083190917969
907,10.68721867,9.803678,227.0,258.54974,31.54974365234375
955,29.14239502,32.26565,305.00000000000006,263.6981,41.30191040039068
967,51.626,5.6248,258.0,290.56067,32.5606689453125
983,14.18492317,107.28864,195.0,118.649315,76.3506851196289
1003,40.18571472,35.859566,319.0,292.7276,26.27239990234375
1005,45.45074081,-75.102585,328.0,297.0306,30.969390869140625
1067,13.75316811,4.4128036,333.0,304.53247,28.467529296875
1133,19.76054382,96.5069,60.0,319.1534,259.1534118652344
1136,37.38422394,61.01698,228.0,260.8598,32.85980224609375
1152,8.47549057,1.2681274,244.0,290.08963,46.089630126953125
1162,37.02951431,61.01698,228.0,258.95746,30.95745849609375
1163,11.12374592,2.6158457,324.0,283.76425,40.235748291015625
1276,7.590833187,12.499114,274.0,332.66452,58.664520263671875
1291,-29.44517326,27.324017,150.0,177.3899,27.389892578125
1300,-33.99429703,-62.523876,100.0,148.38274,48.38273620605469
1384,39.49684906,45.742836,305.00000000000006,272.1769,32.82308959960943
1388,8.031142235,-2.775028,244.0,345.45514,101.45513916015625
1407,8.47549057,3.9635642,213.0,256.63416,43.6341552734375
1462,18.91367149,78.08807,321.0,292.49805,28.501953125
1505,41.2063446,72.697205,243.00000000000003,283.40286,40.4028625488281
1511,37.02951431,-3.673507,288.0,245.53342,42.466583251953125
1521,19.76054382,82.580475,334.0,292.38214,41.61785888671875
1523,18.967871,42.152283,178.00000000000003,343.295,165.29501342773435
1531,0.891231954,30.019453,46.0,170.38863,124.38862609863281
1552,24.3309536,86.62363,334.0,301.20502,32.79498291015625
1569,49.10892105,-101.60771,273.00000000000006,300.6648,27.664794921874943
1586,28.35179329,34.06261,305.00000000000006,265.57147,39.42852783203131
1636,13.75316811,5.7605224,278.0,323.97906,45.97906494140625
1652,50.234,33.6024,274.0,315.64328,41.643280029296875
1655,13.31765938,9.354438,300.0,274.3046,25.695404052734375
1667,-11.72982,-63.079573,171.0,206.85553,35.85552978515625
1669,10.24587154,45.293594,18.0,352.04407,334.0440673828125
1705,14.62175846,36.758045,310.0,349.28854,39.288543701171875
1720,37.02951431,44.844357,288.0,259.59302,28.406982421875
1739,-3.133923531,33.61337,23.5,88.262276,64.76227569580078
1742,4.023560524,18.339228,1.0,299.3284,298.3283996582031
1762,8.921200752,9.803678,213.0,245.37247,32.372467041015625
1768,18.06539154,-99.36151,13.0,336.30844,323.3084411621094
1769,11.12374592,8.00672,213.0,239.81384,26.8138427734375
1773,14.18492317,104.14397,230.0,181.28717,48.71282958984375
1796,16.35170555,-14.006015,310.0,336.55188,26.5518798828125
1807,-24.68589401,45.742836,105.0,134.94456,29.944564819335938
1823,19.76054382,82.13123,334.0,288.8363,45.1636962890625
1830,9.361639023,10.252917,213.0,245.45804,32.458038330078125
1900,38.09786606,40.351963,319.0,286.95435,32.045654296875
1941,-8.918676376,16.09303,160.0,19.069847,140.9301528930664
1946,-11.99611664,13.846833,165.0,138.13129,26.86871337890625
1951,37.02951431,42.14892,242.0,282.487,40.48699951171875
2006,24.697118,-107.718339,318.0,351.91516,33.9151611328125
2031,33.73246384,-5.021225,244.0,270.6499,26.64990234375
2051,13.75316811,5.3112826,278.0,316.00836,38.00836181640625
2079,37.38422394,40.8012,319.0,268.003,50.99700927734375
2104,36.6695137,10.702156,244.0,287.79993,43.7999267578125
2122,10.68721867,98.75309,25.0,233.26894,208.26893615722656
2130,32.60600281,47.539795,228.0,286.90247,58.9024658203125
2133,19.76054382,78.537315,321.0,289.2897,31.710296630859375
2180,8.031142235,38.555004,20.0,323.87585,303.8758544921875
2185,22.27526283,96.95614,60.0,3.8004816,56.19951844215393
2211,51.96334076,6.2097616,258.0,286.90536,28.905364990234375
2214,36.30628586,36.758045,242.0,272.91455,30.91455078125
2221,33.089,35.5947,235.99999999999997,279.8397,43.8396911621094
2248,46.08070755,-103.40467,305.00000000000006,270.0666,34.93341064453131
2251,11.56507492,10.252917,227.0,266.2903,39.290313720703125
2253,-17.620892,-61.087105,171.0,130.41197,40.58802795410156
2315,10.68721867,4.4128036,213.0,255.84415,42.844146728515625
2409,-20.56653214,-51.292892,151.0,124.57372,26.42627716064453
2410,-13.30622673,-76.00106,195.0,68.85821,126.14179229736328
2561,18.06539154,76.29112,288.0,320.66266,32.66265869140625
2580,9.801794052,3.5143247,213.0,275.6626,62.66259765625
2587,38.731414,-75.657167,270.0,301.03976,31.039764404296875
2614,-3.582592964,39.453484,46.0,146.54993,100.5499267578125
2628,-4.03185463,15.194551,185.0,153.46736,31.532638549804688
2670,22.68681717,84.37743,334.0,289.1449,44.8551025390625
2684,48.8120842,-104.30315,244.0,290.47424,46.4742431640625
2715,1.786574244,34.961086,13.0,346.6539,333.6539001464844
2730,-30.335389,-63.669599,139.0,165.9887,26.988693237304688
2731,-26.69131851,31.367172,165.0,135.36293,29.637069702148438
2743,-11.56064034,34.06261,175.00000000000003,136.93594,38.0640563964844
2746,11.12374592,5.7605224,278.0,231.52762,46.472381591796875
2820,-21.39809036,-63.422356,150.0,183.22275,33.222747802734375
2827,-4.03185463,30.019453,35.0,81.675865,46.675865173339844
2829,12.00652313,78.08807,321.0,346.64066,25.640655517578125
2835,-6.702551842,35.859566,128.0,93.20479,34.79521179199219
2919,11.12374592,2.1666062,324.0,279.95413,44.045867919921875
2940,25.55250168,83.47895,340.0,288.6777,51.322296142578125
2982,37.38422394,42.14892,319.0,289.1931,29.806884765625
3009,-26.621426,-61.918536,132.0,199.69348,67.6934814453125
3052,21.43807793,92.46374,1.0,32.373734,31.373733520507812
3060,51.2405,14.0467,264.0,290.13568,26.13568115234375
