,Top cos features,Top cos feature importance
0,dewpoint_avgSeasonMax-summer,0.14870967
1,dewpoint_wholeSeasonMean-winter,0.12287558
2,dewpoint_wholeSeasonMin-winter,0.104668364
3,dewpoint_wholeSeasonMax-summer,0.098894246
4,dewpoint_avgSeasonMin-winter,0.021637574
5,dewpoint_annualStatsMonthMax-1,0.018770056
6,temperature_annualStatsMonthStd-10,0.016727913
7,temperature_annualStatsMonthStd-3,0.016176758
8,precipitation_wholeSeasonMean-summer,0.0142687885
9,precipitation_avgSeasonMax-winter,0.012612221
10,dewpoint_annualStatsMonthAmplitude-11,0.010757797
11,dewpoint_avgSeasonMean-winter,0.009925861
12,temperature_annualStatsMonthMax-11,0.009417394
13,precipitation_wholeSeasonMean-winter,0.008748907
14,temperature_annualStatsMonthAmplitude-11,0.008113274
15,temperature_annualStatsMonthAmplitude-6,0.0068325424
16,temperature_annualStatsMonthAmplitude-10,0.006140251
17,temperature_wholeSeasonMean-fall,0.006084419
18,precipitation_avgSeasonMax-summer,0.0058171563
19,temperature_annualStatsMonthMin-3,0.005802381
20,temperature_annualStatsMonthStd-7,0.0056095202
21,precipitation_wholeSeasonTotal-winter,0.0052595953
22,dewpoint_avgSeasonMax-spring,0.0052201673
23,dewpoint_annualStatsMonthAmplitude-12,0.005169544
24,temperature_annualStatsMonthMin-6,0.00493296
25,dewpoint_annualStatsMonthMin-12,0.004886619
26,temperature_avgSeasonAmplitude-spring,0.004628519
27,dewpoint_wholeSeasonMax-winter,0.0043941275
28,temperature_wholeSeasonMin-spring,0.0043792273
29,dewpoint_annualStatsMonthMax-4,0.0043525477
30,precipitation_wholeSeasonMax-summer,0.0042770137
31,temperature_avgSeasonMin-spring,0.004174154
32,dewpoint_annualStatsMonthStd-4,0.004129371
33,dewpoint_annualStatsMonthAmplitude-10,0.004070174
34,temperature_avgSeasonMean-fall,0.0040492406
35,dewpoint_annualStatsMonthMax-5,0.0038450244
36,precipitation_wholeSeasonStd-winter,0.003716075
37,dewpoint_avgSeasonMin-fall,0.003692619
38,dewpoint_annualStatsMonthMean-7,0.0036568202
39,dewpoint_annualStatsMonthMean-1,0.0036370363
40,temperature_annualStatsMonthMin-9,0.0035420454
41,temperature_annualStatsMonthAmplitude-7,0.0033510951
42,temperature_avgSeasonMin-summer,0.0032984624
43,precipitation_wholeSeasonMax-winter,0.003248869
44,precipitation_avgSeasonMin-winter,0.003129232
45,dewpoint_annualStatsMonthStd-2,0.0031183793
46,dewpoint_wholeSeasonAmplitude-fall,0.003115484
47,temperature_avgSeasonMin-winter,0.0030564049
48,temperature_annualStatsMonthMin-7,0.0030536507
49,temperature_annualStatsMonthMin-5,0.0030146497
