,Top sin features,Top sin feature importance
0,dewpoint_wholeSeasonMin-winter,0.45289984
1,temperature_avgSeasonMin-winter,0.1774189
2,dewpoint_wholeSeasonMean-winter,0.06533143
3,dewpoint_wholeSeasonMean-summer,0.062040664
4,dewpoint_avgSeasonMean-winter,0.021009851
5,precipitation_wholeSeasonStd-summer,0.020447504
6,dewpoint_avgSeasonMin-summer,0.016750231
7,temperature_annualStatsMonthAmplitude-6,0.012455721
8,temperature_annualStatsMonthMin-6,0.0076801484
9,temperature_annualStatsMonthStd-10,0.00680674
10,temperature_annualStatsMonthStd-7,0.0067071076
11,dewpoint_wholeAmplitude,0.0066253575
12,dewpoint_avgSeasonMax-winter,0.0054299897
13,dewpoint_wholeSeasonMin-summer,0.005268333
14,precipitation_wholeSeasonAmplitude-summer,0.0051426496
15,temperature_avgSeasonAmplitude-summer,0.004411706
16,dewpoint_wholeSeasonStd-fall,0.003737144
17,temperature_avgSeasonMin-summer,0.003684315
18,temperature_avgSeasonStd-summer,0.003630149
19,temperature_annualStatsMonthMin-8,0.003126916
20,temperature_annualStatsMonthStd-8,0.003078938
21,temperature_avgSeasonMax-winter,0.002885567
22,dewpoint_annualStatsMonthMax-2,0.0027479418
23,precipitation_annualStatsMonthStd-2,0.0025317252
24,precipitation_annualStatsMonthTotal-9,0.0024253686
25,dewpoint_avgSeasonMax-spring,0.00218338
26,dewpoint_annualStatsMonthMin-10,0.0021612765
27,dewpoint_wholeSeasonMax-winter,0.0019348683
28,dewpoint_wholeSeasonAmplitude-fall,0.00190481
29,dewpoint_avgSeasonMax-summer,0.0017903991
30,dewpoint_wholeSeasonAmplitude-spring,0.0017088163
31,temperature_avgSeasonStd-fall,0.0016797986
32,dewpoint_avgSeasonMean-summer,0.0016354885
33,temperature_annualStatsMonthMax-3,0.0015942465
34,temperature_annualStatsMonthMin-10,0.0015633609
35,dewpoint_wholeSeasonMin-fall,0.0015563782
36,temperature_wholeSeasonStd-fall,0.0013972841
37,temperature_avgSeasonAmplitude-spring,0.0013944263
38,dewpoint_avgSeasonStd-winter,0.0013655376
39,height,0.001362425
40,temperature_annualStatsMonthMin-2,0.0013030012
41,dewpoint_annualStatsMonthMean-3,0.0012994986
42,temperature_avgSeasonMean-winter,0.001296215
43,dewpoint_wholeSeasonAmplitude-summer,0.001217901
44,precipitation_avgSeasonStd-winter,0.0012043767
45,temperature_avgSeasonStd-spring,0.0011214685
46,temperature_wholeSeasonMin-spring,0.0010434827
47,temperature_annualStatsMonthMax-10,0.001021711
48,precipitation_wholeSeasonMin-summer,0.0010132706
49,precipitation_avgSeasonMin-spring,0.00097638596
