,lat,lon,Observat,Predit,diff
57,38.236,46.959,149.0,93.824265,55.17573547363281
76,37.38422394,-120.47577,60.0,101.30222,41.302223205566406
89,8.031142235,37.656525,98.0,128.69588,30.695877075195312
94,8.47549057,1.2681274,60.0,94.065475,34.06547546386719
138,8.031142235,17.440748,180.00000000000003,147.78795,32.21205139160159
194,26.76224709,91.56526,327.0,3.1567197,323.84328031539917
220,-26.188146,32.3424,349.0,296.3111,52.68890380859375
221,-33.99429703,-61.6254,290.0,249.29703,40.702972412109375
224,32.60600281,-114.63566,60.0,146.01846,86.01846313476562
233,38.79824448,-121.82349,60.0,105.55985,45.559852600097656
266,1.786574244,32.71489,245.0,202.24454,42.755462646484375
279,38.09786606,40.8012,120.0,63.71788,56.28211975097656
312,23.51418877,103.694725,121.0,172.1942,51.19419860839844
314,12.87829304,4.4128036,117.99999999999999,164.96187,46.96186828613283
325,9.801794052,3.5143247,60.0,117.22086,57.220863342285156
358,26.76224709,93.81146,327.0,285.01532,41.98468017578125
390,12.87829304,121.215065,130.0,156.32559,26.325592041015625
409,-4.03185463,20.585424,152.0,85.597015,66.40298461914062
418,1.786574244,34.961086,275.00000000000006,138.9155,136.08450317382818
419,-25.49052429,-54.43757,244.0,271.8007,27.800689697265625
420,19.76054382,41.250443,64.0,154.05533,90.05532836914062
435,40.18571472,35.859566,60.0,92.51552,32.51551818847656
443,46.6778,21.1277,126.0,99.95896,26.041038513183594
453,-33.62216568,-61.17616,290.0,252.16425,37.83575439453125
480,-8.032394409,29.570215,258.0,285.44586,27.44586181640625
509,39.14954758,-122.27273,60.0,92.166176,32.166175842285156
517,7.14485836,39.90272,130.0,168.0418,38.04179382324219
528,30.31077576,70.00177,205.0,112.77004,92.2299575805664
606,-10.616729,-68.052168,282.0,84.816154,197.18384552001953
647,37.38422394,35.859566,60.0,96.55954,36.559539794921875
657,14.62175846,37.656525,185.0,146.02376,38.97624206542969
666,-28.66922379,147.7202,305.00000000000006,356.56198,51.56198120117182
671,11.56507492,104.14397,90.00000000000001,122.52722,32.527221679687486
675,-30.335389,-63.669599,325.0,243.99692,81.00308227539062
685,8.031142235,9.354438,121.0,91.74481,29.25518798828125
725,13.31765938,-12.209057,185.0,153.45691,31.5430908203125
730,12.87829304,8.905199,180.00000000000003,138.83937,41.160629272460966
731,0.891231954,35.410328,288.0,118.27585,169.72415161132812
733,48.8120842,6.6590014,135.0,107.91874,27.081260681152344
761,33.73246384,35.859566,140.0,112.2821,27.71790313720703
781,-6.255360603,30.917933,327.0,288.05612,38.943878173828125
807,-33.62216568,-59.82844,227.0,264.20135,37.20135498046875
834,36.30628586,-119.57729,60.0,99.394745,39.394744873046875
848,41.5391,0.7806,125.0,89.86735,35.132652282714844
905,13.75316811,-0.07959097,180.00000000000003,151.15053,28.849472045898466
920,-11.72982,-63.079573,274.0,86.14408,187.85591888427734
930,-37.9348,140.5977,349.0,281.3908,67.60919189453125
936,49.10892105,-122.27273,130.0,101.13464,28.8653564453125
951,34.479702,36.308807,140.0,103.236336,36.76366424560547
989,22.27526283,95.15918,244.0,203.02756,40.972442626953125
993,48.51523209,6.6590014,135.0,99.94791,35.052093505859375
1017,-30.9868145,-62.07464,244.0,276.03076,32.03076171875
1053,8.47549057,80.334274,274.0,189.59972,84.40028381347656
1063,9.801794052,14.745312,180.00000000000003,153.26439,26.73561096191409
1115,-29.83493423,-62.07464,335.0,305.31232,29.68768310546875
1117,34.10725403,71.34949,121.0,159.35025,38.350250244140625
1150,9.361639023,-66.56703,123.00000000000001,265.02826,142.02825927734375
1153,-22.790854,17.909831,337.0,308.34213,28.657867431640625
1184,17.63721848,98.75309,274.0,248.914,25.08599853515625
1201,47.61360168,38.555004,91.00000000000001,123.430046,32.430046081542955
1211,4.114616,-74.912911,81.0,257.80704,176.80703735351562
1222,4.915698528,-74.65334,46.0,224.07791,178.07791137695312
1230,27.1602211,84.82667,121.0,149.88246,28.882461547851562
1234,16.35170555,-92.17368,150.0,195.71739,45.71739196777344
1239,12.87829304,14.745312,180.00000000000003,154.16031,25.839691162109403
1247,14.62175846,36.758045,185.0,152.58345,32.41654968261719
1251,46.6978035,34.961086,135.0,101.45227,33.5477294921875
1269,37.02951431,40.8012,105.0,75.22343,29.776573181152344
1307,-32.50348663,-61.6254,290.0,263.6161,26.3839111328125
1332,-6.702551842,-76.4503,285.00000000000006,72.39095,212.6090469360352
1342,-3.582592964,39.453484,288.0,63.556385,224.4436149597168
1413,32.60600281,-114.18642,60.0,146.54437,86.54437255859375
1438,9.801794052,3.0650852,60.0,118.55688,58.55687713623047
1443,51.68387222,38.105762,91.00000000000001,116.044975,25.044975280761705
1565,-32.8782196,-71.50867,320.0,289.2011,30.79888916015625
1569,43.20207596,72.24796,136.0,104.37462,31.625381469726562
1574,41.54547119,-112.38946,60.0,107.4432,47.443199157714844
1580,8.031142235,10.252917,121.0,89.79125,31.20874786376953
1582,-33.24838638,138.73541,349.0,318.25726,30.74273681640625
1596,16.78024101,103.694725,100.0,249.16684,149.16683959960938
1628,6.254891872,10.252917,60.0,120.645096,60.64509582519531
1646,18.48777199,-95.31836,141.0,112.63665,28.36334991455078
1659,12.87829304,-87.23205,135.0,188.93182,53.93182373046875
