,Top cos features,Top cos feature importance
0,precipitation_avgSeasonMin-winter,0.15941301
1,dewpoint_annualStatsMonthMin-11,0.07718044
2,precipitation_wholeSeasonTotal-winter,0.06935771
3,precipitation_avgSeasonMax-summer,0.023117315
4,dewpoint_annualStatsMonthMin-5,0.021642799
5,temperature_annualStatsMonthAmplitude-6,0.020622076
6,temperature_annualStatsMonthAmplitude-3,0.020606983
7,dewpoint_annualStatsMonthMean-10,0.016994616
8,precipitation_wholeSeasonStd-summer,0.015981544
9,temperature_annualStatsMonthMax-7,0.015615903
10,precipitation_avgSeasonStd-summer,0.014991686
11,temperature_annualStatsMonthMin-3,0.013687453
12,dewpoint_wholeMin,0.013554768
13,precipitation_wholeSeasonMin-winter,0.012733013
14,temperature_annualStatsMonthAmplitude-7,0.012513
15,dewpoint_annualStatsMonthStd-12,0.012431542
16,dewpoint_annualStatsMonthAmplitude-3,0.012373882
17,temperature_wholeSeasonMax-winter,0.010041468
18,precipitation_avgSeasonMean-fall,0.009167097
19,temperature_annualStatsMonthStd-1,0.008725479
20,precipitation_wholeSeasonMean-summer,0.008608773
21,dewpoint_avgSeasonAmplitude-fall,0.008603964
22,temperature_annualStatsMonthStd-10,0.008159303
23,dewpoint_avgSeasonMax-summer,0.008150512
24,dewpoint_annualStatsMonthStd-9,0.0078085726
25,temperature_annualStatsMonthMin-12,0.0077978517
26,dewpoint_wholeAmplitude,0.0077604987
27,dewpoint_wholeSeasonStd-spring,0.0077374554
28,dewpoint_annualStatsMonthMin-7,0.006900323
29,dewpoint_annualStatsMonthStd-7,0.0067908303
30,dewpoint_annualStatsMonthAmplitude-11,0.0064065545
31,dewpoint_avgSeasonMean-summer,0.0061849174
32,dewpoint_annualStatsMonthStd-10,0.0061000152
33,temperature_annualStatsMonthStd-3,0.005628572
34,temperature_avgSeasonStd-winter,0.0055990145
35,temperature_wholeSeasonAmplitude-spring,0.0055268086
36,precipitation_wholeSeasonMean-winter,0.0055106515
37,precipitation_avgSeasonAmplitude-summer,0.005236901
38,temperature_avgSeasonMin-winter,0.0052142735
39,dewpoint_avgSeasonStd-winter,0.005175504
40,dewpoint_wholeSeasonMin-winter,0.0050834627
41,temperature_avgSeasonMean-fall,0.0047259275
42,temperature_annualStatsMonthStd-7,0.004495876
43,dewpoint_avgSeasonStd-spring,0.004395007
44,temperature_annualStatsMonthAmplitude-11,0.0043947077
45,temperature_annualStatsMonthMin-4,0.004272701
46,dewpoint_annualStatsMonthMax-7,0.0041260356
47,dewpoint_wholeSeasonMax-winter,0.003968916
48,temperature_annualStatsMonthAmplitude-10,0.003809798
49,temperature_avgSeasonStd-fall,0.0037238693
