,Top sin features,Top sin feature importance
0,dewpoint_wholeSeasonMin-winter,0.41767833
1,dewpoint_avgSeasonMin-winter,0.13287385
2,dewpoint_wholeSeasonMean-winter,0.110073105
3,dewpoint_avgSeasonMax-summer,0.06797421
4,dewpoint_avgSeasonMin-summer,0.036885157
5,dewpoint_avgSeasonMean-winter,0.028273962
6,dewpoint_wholeSeasonMean-summer,0.026038842
7,temperature_wholeSeasonMin-winter,0.019113347
8,temperature_annualStatsMonthMin-3,0.010258868
9,temperature_avgSeasonMax-winter,0.009509681
10,temperature_annualStatsMonthMin-8,0.007866358
11,precipitation_annualStatsMonthTotal-10,0.005060869
12,temperature_avgSeasonMean-winter,0.0045886287
13,dewpoint_annualStatsMonthAmplitude-3,0.0045103733
14,precipitation_annualStatsMonthMin-3,0.0043147057
15,temperature_wholeSeasonMin-fall,0.0041036727
16,dewpoint_wholeSeasonMin-summer,0.0034162703
17,dewpoint_annualStatsMonthMean-7,0.0032815628
18,dewpoint_annualStatsMonthAmplitude-10,0.0023942785
19,precipitation_wholeSeasonMin-winter,0.0022907192
20,precipitation_annualStatsMonthMin-11,0.0022211026
21,dewpoint_annualStatsMonthMin-10,0.0021549854
22,temperature_annualStatsMonthStd-10,0.0020372993
23,temperature_annualStatsMonthMin-9,0.0019860284
24,dewpoint_avgSeasonStd-winter,0.0019338689
25,dewpoint_wholeSeasonAmplitude-fall,0.0018440047
26,dewpoint_annualStatsMonthMean-6,0.0016974937
27,dewpoint_wholeSeasonAmplitude-summer,0.0016457408
28,dewpoint_wholeSeasonMax-winter,0.0015577828
29,temperature_annualStatsMonthMin-1,0.0015527228
30,dewpoint_wholeSeasonStd-summer,0.001552573
31,temperature_annualStatsMonthStd-11,0.0015292232
32,temperature_wholeSeasonMean-winter,0.0014632413
33,dewpoint_avgSeasonMax-winter,0.0013212225
34,dewpoint_avgSeasonAmplitude-summer,0.0013096916
35,temperature_avgSeasonAmplitude-summer,0.0012389203
36,precipitation_wholeSeasonMean-winter,0.0011894056
37,precipitation_wholeSeasonStd-winter,0.0011408478
38,dewpoint_avgSeasonStd-summer,0.0011360074
39,dewpoint_annualStatsMonthAmplitude-6,0.0011342113
40,precipitation_avgSeasonMin-fall,0.0010992108
41,precipitation_wholeSeasonAmplitude-summer,0.001042598
42,temperature_annualStatsMonthMean-3,0.0010268609
43,dewpoint_wholeAmplitude,0.0010154635
44,temperature_annualStatsMonthMin-5,0.0009932122
45,dewpoint_wholeSeasonMean-fall,0.0009571036
46,precipitation_annualStatsMonthTotal-5,0.00095409463
47,dewpoint_annualStatsMonthStd-10,0.00091660704
48,dewpoint_wholeSeasonStd-winter,0.0009110824
49,temperature_annualStatsMonthMax-10,0.00085996924
