,Top cos features,Top cos feature importance
0,temperature_avgSeasonMin-winter,0.4313796
1,temperature_annualStatsMonthMin-11,0.12661488
2,temperature_wholeSeasonMin-winter,0.12027509
3,dewpoint_avgSeasonMin-winter,0.06277618
4,temperature_wholeSeasonMin-summer,0.02625226
5,temperature_wholeSeasonMean-winter,0.02413158
6,dewpoint_wholeSeasonMin-winter,0.02223373
7,dewpoint_annualStatsMonthMax-10,0.019197965
8,temperature_wholeSeasonMin-spring,0.017904414
9,dewpoint_annualStatsMonthMax-4,0.008264031
10,temperature_annualStatsMonthMin-3,0.007904787
11,dewpoint_wholeSeasonMean-winter,0.005842743
12,temperature_avgSeasonMean-winter,0.003981573
13,temperature_annualStatsMonthAmplitude-4,0.0034510263
14,precipitation_wholeSeasonAmplitude-summer,0.0029385563
15,precipitation_wholeSeasonTotal-spring,0.0027939682
16,temperature_annualStatsMonthMin-1,0.0026352368
17,temperature_annualStatsMonthStd-9,0.0026320468
18,dewpoint_annualStatsMonthMin-3,0.0025624458
19,dewpoint_avgSeasonMax-winter,0.0025075336
20,dewpoint_annualStatsMonthMax-9,0.002409083
21,dewpoint_annualStatsMonthMin-9,0.0024011836
22,temperature_wholeSeasonMin-fall,0.002365882
23,dewpoint_annualStatsMonthMin-1,0.0022355118
24,precipitation_avgSeasonMin-summer,0.0021908528
25,temperature_annualStatsMonthMean-8,0.0021736124
26,temperature_avgSeasonMin-spring,0.0020489704
27,dewpoint_annualStatsMonthAmplitude-12,0.0020372893
28,temperature_annualStatsMonthMin-4,0.001812152
29,temperature_annualStatsMonthMax-3,0.0017770003
30,dewpoint_annualStatsMonthStd-11,0.0017571467
31,temperature_annualStatsMonthAmplitude-6,0.0016172708
32,temperature_annualStatsMonthStd-6,0.0015348839
33,dewpoint_annualStatsMonthAmplitude-11,0.0014863153
34,dewpoint_annualStatsMonthMax-12,0.0014827469
35,precipitation_annualStatsMonthStd-10,0.0014308267
36,precipitation_annualStatsMonthMax-10,0.0014297019
37,temperature_annualStatsMonthMean-11,0.0014267097
38,precipitation_wholeSeasonMean-summer,0.0013135157
39,precipitation_annualStatsMonthStd-12,0.0013077416
40,temperature_annualStatsMonthStd-1,0.001270495
41,precipitation_annualStatsMonthAmplitude-10,0.0012304672
42,temperature_wholeMin,0.0011619979
43,precipitation_wholeSeasonMean-spring,0.0011611509
44,dewpoint_annualStatsMonthMin-11,0.0011423501
45,dewpoint_annualStatsMonthAmplitude-1,0.0011357374
46,temperature_annualStatsMonthMax-5,0.0011321191
47,precipitation_avgSeasonMax-summer,0.0011320618
48,dewpoint_wholeSeasonStd-summer,0.00103437
49,dewpoint_annualStatsMonthMin-7,0.0010227364
