,lat,lon,Observat,Predit,diff
13,46.6978035,83.92819,196.0,221.59087,25.590866088867188
84,-8.918676376,34.961086,238.00000000000003,299.16562,61.16561889648435
139,32.60600281,-115.534134,125.0,186.13719,61.13719177246094
168,15.05745888,-85.88433,8.0,111.18026,103.18025970458984
170,29.92009735,78.08807,139.0,105.27755,33.722450256347656
256,23.92438889,75.84188,129.0,98.086555,30.91344451904297
289,29.14239502,-105.20163,133.0,170.78392,37.78392028808594
306,41.54547119,-112.38946,178.00000000000003,213.59352,35.593521118164034
323,34.84596634,58.32154,153.0,206.46852,53.46852111816406
333,-12.4315443,14.745312,304.0,250.46332,53.53668212890625
338,37.02951431,55.176865,182.00000000000003,212.5078,30.50779724121091
348,38.44823456,40.351963,227.0,192.52908,34.470916748046875
386,32.98572159,70.00177,137.0,170.53954,33.53953552246094
454,37.74147415,107.737885,166.0,193.9771,27.977096557617188
458,15.91827488,43.49664,310.99999999999994,50.765274,260.2347259521484
500,39.14954758,55.626102,171.0,212.05502,41.055023193359375
512,29.14239502,78.98656,139.0,105.26963,33.730369567871094
550,-23.05236816,-61.17616,306.0,348.11493,42.11492919921875
615,31.84973526,74.9434,105.0,131.97324,26.973236083984375
616,34.10725403,70.900246,131.0,176.00018,45.00018310546875
625,-8.032394409,36.308807,238.00000000000003,310.79337,72.7933654785156
665,43.52927399,43.945877,227.0,195.05275,31.947250366210938
697,-18.45940971,-64.32084,150.0,326.8675,176.86749267578125
754,-20.98056602,-65.66856,335.0,161.89131,173.1086883544922
760,33.36076736,70.900246,140.0,165.97015,25.97015380859375
782,25.95700645,88.420586,122.0,94.96589,27.03411102294922
785,13.75316811,-85.88433,8.0,67.34714,59.347137451171875
809,-4.03185463,-80.04422,260.0,226.14908,33.850921630859375
812,-3.582592964,39.453484,274.0,224.08566,49.914337158203125
835,36.6695137,43.49664,160.0,211.08366,51.08366394042969
853,8.921200752,35.859566,212.0,256.7367,44.7366943359375
891,-15.90098572,-68.36399,150.0,176.93451,26.93450927734375
895,36.30628586,138.28616,221.0,189.48833,31.511672973632812
922,13.31765938,4.8620434,95.0,68.16972,26.830276489257812
947,-28.66922379,28.671736,305.00000000000006,44.101276,260.898723602295
971,-6.255360603,23.7301,128.0,313.1107,185.11068725585938
981,-15.90098572,-40.511143,258.0,229.14572,28.854278564453125
985,29.14239502,-10.412099,170.0,208.51942,38.51942443847656
993,-16.32967758,-69.26247,134.0,162.48633,28.486328125
1007,26.76224709,93.81146,74.0,105.74234,31.742340087890625
1014,-8.477828026,36.308807,238.00000000000003,294.4092,56.4092102050781
1016,28.74724579,-9.513619,170.0,197.17998,27.179977416992188
1019,-17.18476105,18.339228,319.0,293.2776,25.722412109375
1027,19.34002876,7.5574803,124.0,89.319855,34.680145263671875
1041,-28.27491188,-54.886806,294.0,319.12,25.1199951171875
1046,33.36076736,-113.28794,159.0,191.91669,32.91668701171875
1089,11.56507492,39.90272,212.0,266.31848,54.3184814453125
1126,15.05745888,39.453484,360.00000000000006,231.18475,128.8152465820313
1158,37.38422394,43.047398,227.0,177.08179,49.918212890625
1171,14.18492317,38.105762,212.0,271.8851,59.885101318359375
1190,2.233072996,33.16413,220.0,251.16486,31.16485595703125
1229,38.44823456,39.453484,227.0,201.1921,25.807907104492188
1271,31.46537399,71.34949,139.0,171.35545,32.35545349121094
1272,-6.702551842,108.18712,100.0,235.55023,135.55023193359375
1307,14.18492317,36.308807,91.00000000000001,58.91622,32.08377838134767
1326,26.36227798,92.46374,74.0,100.4357,26.435699462890625
1335,38.44823456,40.8012,227.0,180.25966,46.74034118652344
1339,30.31077576,74.04492,105.0,133.13782,28.1378173828125
1341,-2.690553427,-77.34878,230.0,22.283161,207.71683883666992
1412,19.76054382,14.745312,74.0,125.15826,51.15825653076172
1433,1.341664553,-76.89954,260.0,287.77496,27.77496337890625
1458,13.31765938,-6.818183,120.0,33.54499,86.45500946044922
1500,27.95934296,117.621155,168.0,136.57608,31.423919677734375
1511,39.14954758,22.382383,181.00000000000003,209.18105,28.181045532226534
1520,0.891231954,32.26565,220.0,257.0765,37.076507568359375
1572,15.91827488,38.555004,340.0,224.35481,115.64518737792969
1585,31.46537399,56.524582,143.0,187.90318,44.90318298339844
1590,37.38422394,35.859566,227.0,180.65445,46.345550537109375
1593,31.07966423,75.84188,131.0,103.99492,27.005081176757812
1599,-9.357785225,-72.856384,230.0,113.143974,116.85602569580078
1614,34.84596634,59.22002,182.00000000000003,209.0092,27.00920104980466
1619,16.35170555,43.49664,273.00000000000006,326.91324,53.91323852539057
