,Top cos features,Top cos feature importance
0,temperature_avgSeasonMean-summer,0.19336966
1,precipitation_avgSeasonMean-winter,0.07400704
2,dewpoint_avgSeasonMax-winter,0.067566685
3,temperature_wholeSeasonMean-summer,0.05965176
4,precipitation_wholeSeasonMin-winter,0.052661188
5,dewpoint_wholeSeasonMean-winter,0.041462988
6,dewpoint_wholeSeasonMin-winter,0.030793525
7,dewpoint_avgSeasonMean-winter,0.029223187
8,precipitation_wholeSeasonMin-fall,0.026102636
9,dewpoint_wholeSeasonMax-winter,0.022068035
10,temperature_annualStatsMonthMin-6,0.017399995
11,temperature_wholeSeasonMax-fall,0.015931709
12,precipitation_wholeSeasonTotal-winter,0.013788318
13,dewpoint_annualStatsMonthMax-1,0.013181471
14,temperature_wholeSeasonMean-winter,0.013054951
15,dewpoint_annualStatsMonthMin-1,0.0116332825
16,temperature_avgSeasonMin-winter,0.010811744
17,precipitation_wholeSeasonMean-winter,0.009377329
18,dewpoint_annualStatsMonthMax-4,0.008951347
19,temperature_avgSeasonMin-fall,0.007060438
20,dewpoint_annualStatsMonthMean-4,0.0067691486
21,dewpoint_avgSeasonMean-summer,0.006719528
22,dewpoint_wholeSeasonMin-summer,0.0067026005
23,temperature_annualStatsMonthMax-4,0.006552139
24,dewpoint_wholeAmplitude,0.0063451077
25,height,0.005014588
26,temperature_annualStatsMonthAmplitude-5,0.0049090497
27,dewpoint_wholeSeasonAmplitude-summer,0.004484321
28,temperature_avgSeasonMax-summer,0.0042512845
29,dewpoint_annualStatsMonthMin-5,0.0041698082
30,dewpoint_annualStatsMonthMean-1,0.0040102997
31,precipitation_avgSeasonMin-summer,0.0038838924
32,temperature_avgSeasonAmplitude-fall,0.0038490852
33,precipitation_avgSeasonMax-winter,0.0036967574
34,temperature_wholeSeasonAmplitude-fall,0.003585736
35,precipitation_annualStatsMonthMin-9,0.0034995943
36,dewpoint_annualStatsMonthAmplitude-2,0.0034587379
37,dewpoint_avgSeasonMax-fall,0.0033470853
38,temperature_annualStatsMonthStd-8,0.0033385097
39,dewpoint_wholeSeasonMax-summer,0.0032042612
40,temperature_avgSeasonAmplitude-winter,0.0031550487
41,dewpoint_annuallyAveragedAmplitude,0.0031460985
42,temperature_annualStatsMonthMin-8,0.0030299455
43,dewpoint_annualStatsMonthMin-9,0.0030112392
44,dewpoint_wholeSeasonMin-spring,0.0029878167
45,dewpoint_annualStatsMonthMean-7,0.0029238556
46,temperature_annualStatsMonthStd-5,0.0028470007
47,precipitation_annualStatsMonthMean-11,0.0027848873
48,precipitation_annualStatsMonthMin-1,0.0025944207
49,temperature_annualStatsMonthStd-10,0.0024525246
