,Top sin features,Top sin feature importance
0,temperature_wholeSeasonStd-winter,0.15662166
1,temperature_avgSeasonMin-winter,0.101031154
2,dewpoint_avgSeasonMean-summer,0.0906366
3,temperature_annualStatsMonthMin-12,0.04004817
4,dewpoint_avgSeasonMax-summer,0.037731305
5,dewpoint_wholeSeasonMean-summer,0.03605704
6,temperature_annualStatsMonthMin-10,0.036053345
7,dewpoint_annualStatsMonthMean-3,0.035609826
8,temperature_avgSeasonMax-summer,0.03284556
9,temperature_wholeSeasonMin-winter,0.03216176
10,precipitation_avgSeasonMean-fall,0.02110522
11,temperature_wholeSeasonMean-summer,0.020015707
12,precipitation_annualStatsMonthMin-1,0.018877957
13,dewpoint_avgSeasonMin-summer,0.018059624
14,temperature_annualStatsMonthMin-3,0.01761519
15,temperature_wholeSeasonAmplitude-winter,0.016778884
16,temperature_wholeSeasonMean-winter,0.010961702
17,temperature_annualStatsMonthAmplitude-8,0.0103015015
18,dewpoint_annualStatsMonthMin-3,0.00817068
19,dewpoint_wholeSeasonMax-summer,0.007857003
20,temperature_wholeSeasonMax-summer,0.0076378756
21,dewpoint_avgSeasonMin-spring,0.007540517
22,temperature_wholeSeasonMin-summer,0.0073925015
23,temperature_wholeSeasonMin-fall,0.0072686058
24,temperature_avgSeasonStd-spring,0.007016215
25,temperature_avgSeasonMin-summer,0.006675258
26,precipitation_annualStatsMonthMin-4,0.0063867294
27,temperature_annualStatsMonthMin-11,0.00541633
28,dewpoint_wholeSeasonMin-summer,0.005332921
29,dewpoint_wholeSeasonMin-spring,0.004448541
30,dewpoint_avgSeasonMean-winter,0.00416777
31,temperature_avgSeasonAmplitude-winter,0.003875046
32,temperature_wholeSeasonAmplitude-spring,0.0038624639
33,precipitation_annualStatsMonthTotal-11,0.0038017526
34,dewpoint_annualStatsMonthStd-7,0.00363445
35,dewpoint_annualStatsMonthMin-1,0.0035573088
36,temperature_avgSeasonStd-fall,0.003413478
37,temperature_avgSeasonMean-summer,0.0032887186
38,dewpoint_avgSeasonMax-winter,0.0032459754
39,temperature_wholeMin,0.0026024303
40,precipitation_annualStatsMonthMean-11,0.0025837608
41,temperature_annualStatsMonthMin-6,0.0024414374
42,precipitation_wholeSeasonTotal-fall,0.0022920652
43,precipitation_wholeSeasonMin-winter,0.002286731
44,temperature_annualStatsMonthMean-12,0.0022344748
45,temperature_annualStatsMonthMin-4,0.0022331327
46,dewpoint_wholeSeasonStd-winter,0.0021258288
47,precipitation_avgSeasonMin-fall,0.002121482
48,precipitation_wholeSeasonMean-fall,0.0020992644
49,temperature_avgSeasonStd-winter,0.0020886583
