,lat,lon,Observat,Predit,diff
13,46.6978035,83.92819,345.0,304.99792,40.0020751953125
60,-13.30622673,28.671736,141.0,177.08351,36.08351135253906
77,32.98572159,21.933144,340.0,309.55103,30.448974609375
91,36.30628586,4.8620434,300.99999999999994,327.60303,26.603027343750057
127,-22.63850975,-63.871597,151.0,176.86485,25.864852905273438
139,32.60600281,-115.534134,355.0,281.18237,73.817626953125
157,-35.45597458,-63.422356,166.0,192.69766,26.697662353515625
168,15.05745888,-85.88433,243.00000000000003,282.96655,39.96655273437497
183,40.86764908,68.654045,91.00000000000001,294.27203,203.27203369140625
198,34.10725403,68.654045,349.0,322.93723,26.062774658203125
218,11.12374592,39.453484,32.0,361.77676,329.7767639160156
221,34.479702,0.36964852,10.0,325.8706,315.87060546875
255,26.76224709,85.27591,360.00000000000006,320.1093,39.89068603515631
282,35.94524765,8.00672,30.0,349.044,319.04400634765625
284,28.74724579,80.783516,317.0,352.89325,35.89324951171875
289,29.14239502,-105.20163,325.0,299.47537,25.524627685546875
342,-19.3057251,31.367172,196.0,168.98944,27.01055908203125
388,-37.952034,-62.07464,221.0,195.12074,25.879257202148438
409,32.60600281,61.466217,294.99999999999994,321.55817,26.558166503906307
454,37.74147415,107.737885,302.0,330.86505,28.86505126953125
458,15.91827488,43.49664,167.0,117.98908,49.01091766357422
501,33.36076736,3.9635642,310.0,339.74158,29.7415771484375
538,33.73246384,35.859566,330.0,300.50546,29.494537353515625
545,-28.66922379,114.92571,161.0,135.87648,25.123519897460938
607,50.84103012,3.5143247,312.0,264.51398,47.48602294921875
625,-8.032394409,36.308807,78.0,108.85148,30.851478576660156
647,37.38422394,42.59816,355.0,294.6925,60.3074951171875
650,-38.99763107,-62.973118,221.0,188.54637,32.45362854003906
666,15.48647022,74.9434,305.00000000000006,346.94623,41.94622802734369
667,-21.8156662,-45.452778,152.0,125.32268,26.677322387695312
695,-30.9868145,150.41563,196.0,163.14168,32.85832214355469
697,-18.45940971,-64.32084,320.0,92.258965,227.74103546142578
738,55.16308212,51.582947,322.0,264.99622,57.0037841796875
743,51.1256485,39.453484,259.0,285.43597,26.43597412109375
754,-20.98056602,-65.66856,196.0,299.72336,103.72335815429688
760,33.36076736,70.900246,300.99999999999994,326.18204,25.182037353515682
777,14.62175846,35.859566,199.0,299.83597,100.83596801757812
782,25.95700645,88.420586,351.0,320.50525,30.4947509765625
785,13.75316811,-85.88433,243.00000000000003,271.02817,28.028167724609347
798,4.023560524,30.917933,123.00000000000001,63.323925,59.67607498168947
809,-4.03185463,-80.04422,5.0,64.60824,59.608238220214844
812,-3.582592964,39.453484,98.0,140.04028,42.040283203125
864,35.94524765,6.2097616,30.0,309.51715,279.51715087890625
876,42.87647247,70.00177,326.0,297.913,28.087005615234375
890,-18.88516045,-65.66856,347.0,319.04062,27.959381103515625
895,36.30628586,138.28616,305.00000000000006,278.1769,26.823089599609432
904,8.921200752,38.105762,32.0,331.94238,299.9423828125
917,35.94524765,7.5574803,20.0,328.00125,308.0012512207031
937,21.02335739,73.14645,318.0,345.94855,27.94854736328125
947,-28.66922379,28.671736,182.00000000000003,308.1444,126.14440917968747
959,35.94524765,44.39512,350.00000000000006,321.23578,28.764221191406307
960,-25.08750343,-51.74213,182.00000000000003,135.99739,46.002609252929716
971,-6.255360603,23.7301,8.0,139.94252,131.94252014160156
981,-15.90098572,-40.511143,152.0,82.97239,69.0276107788086
985,29.14239502,-10.412099,279.00000000000006,323.96826,44.96826171874994
999,34.10725403,133.79378,339.0,304.07025,34.92974853515625
1003,-37.952034,-60.72692,219.0,193.12029,25.879714965820312
1014,-8.477828026,36.308807,78.0,104.55628,26.55628204345703
1041,-28.27491188,-54.886806,117.99999999999999,143.86275,25.862747192382827
1119,25.55250168,68.20481,290.0,325.97702,35.977020263671875
1126,15.05745888,39.453484,200.0,48.128624,151.87137603759766
1148,-6.702551842,-77.79802,320.0,28.583227,291.4167728424072
1150,50.55569077,3.5143247,312.0,264.48276,47.517242431640625
1160,29.14239502,80.334274,317.0,351.38205,34.382049560546875
1163,36.30628586,7.5574803,20.0,322.79016,302.7901611328125
1172,6.254891872,30.019453,117.99999999999999,270.08282,152.08282470703125
1181,35.21413803,10.252917,300.0,327.25748,27.257476806640625
1269,43.85606003,80.783516,345.0,292.23276,52.767242431640625
1272,-6.702551842,108.18712,332.0,8.2316,323.76840019226074
1291,23.92438889,88.86983,365.0,331.2715,33.728485107421875
1341,-2.690553427,-77.34878,20.0,321.71988,301.7198791503906
1342,25.95700645,-108.79554,319.0,349.3196,30.319610595703125
1371,35.58239365,7.1082406,20.0,322.756,302.7560119628906
1383,35.94524765,64.16165,332.0,294.24457,37.75543212890625
